"EventId","EventType","Timestamp","Level","Message","Exception"
"event-4b28fae781c808dd5200000000000000","0xfed9c7dd","2025-04-22T18:05:41.0897639Z","Information","Request starting HTTP/1.1 POST https://localhost:5001/api/users/register - application/json 112",""
"event-4b290e6981c808dd5300000000000000","0x53ff63bb","2025-04-22T18:05:41.0902633Z","Information","Executing endpoint 'Bookify.Api.Controllers.Users.UsersController.Register (Bookify.Api)'",""
"event-4b29c72481c808dd5400000000000000","0xd969d070","2025-04-22T18:05:41.0949924Z","Information","Route matched with {action = ""Register"", controller = ""Users""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] Register(Bookify.Api.Controllers.Users.RegisterUserRequest, System.Threading.CancellationToken) on controller Bookify.Api.Controllers.Users.UsersController (Bookify.Api).",""
"event-4b2b0d8b81c808dd5500000000000000","0x1e597aed","2025-04-22T18:05:41.1033483Z","Information","Executing action method Bookify.Api.Controllers.Users.UsersController.Register (Bookify.Api) - Validation state: Valid",""
"event-4b2b7a3d81c808dd5600000000000000","0xd4e29fe2","2025-04-22T18:05:41.1061309Z","Information","Executing request RegisterUserCommand",""
"event-4b31e7a581c808dd5700000000000000","0x9b0ede5b","2025-04-22T18:05:41.1482533Z","Information","Start processing HTTP request POST http://localhost:18080/admin/realms/bookify/users",""
"event-4b326bfe81c808dd5800000000000000","0x9b55e6b6","2025-04-22T18:05:41.1516414Z","Information","Sending HTTP request POST http://localhost:18080/realms/bookify/protocol/openid-connect/token",""
"event-4b34a75b81c808dd5900000000000000","0x386a9aae","2025-04-22T18:05:41.1662683Z","Information","Received HTTP response headers after 14.5237ms - 200",""
"event-4b34d1b981c808dd5a00000000000000","0x9b55e6b6","2025-04-22T18:05:41.1673529Z","Information","Sending HTTP request POST http://localhost:18080/admin/realms/bookify/users",""
"event-4b38edc381c808dd5b00000000000000","0x386a9aae","2025-04-22T18:05:41.1942851Z","Information","Received HTTP response headers after 26.8432ms - 409",""
